left,right,count,Station
0,12.3333333333333,120,Tübingen
12.3333333333333,24.6666666666667,23,Tübingen
24.6666666666667,37,17,Tübingen
37,49.3333333333333,23,Tübingen
49.3333333333333,61.6666666666667,15,Tübingen
61.6666666666667,74,6,Tübingen
0,7.1,23,Leipzig
7.1,14.2,28,Leipzig
14.2,21.3,29,Leipzig
21.3,28.4,36,Leipzig
28.4,35.5,58,Leipzig
35.5,42.6,42,Leipzig
42.6,49.7,29,Leipzig
49.7,56.8,19,Leipzig
56.8,63.9,17,Leipzig
63.9,71,7,Leipzig
0,16.8,6,Aachen
16.8,33.6,106,Aachen
33.6,50.4,82,Aachen
50.4,67.2,23,Aachen
67.2,84,7,Aachen
